Time Value,Backcase,IC_DA9313,IC_DA9313_Backcase,IC_DA9313_TP,IC_MCP,IC_MCP_Backcase,IC_MCP_TP,IC_PM8009_TP,IC_PM8009_backcase,IC_PM8009_chip,IC_PM855,IC_PM855B,IC_PM855B_Backcase,IC_PM855B_TP,IC_PM855L_backcase,IC_PM855L,IC_PM855L_TP,IC_PM855_Backcase,IC_PM855_TP,IC_SM8250_LPDDR5,IC_SM8250_LPDDR5_Backcase,IC_SM8250_LPDDR5_TP,MAIN_CAM_SENSOR,Main_CAM_SENOR_Backcase,Main_CAM_SENOR_TP,Main_Cam_MADA,Pilot_ISP,Pilot_NPU,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,Pilot_dram,Pilot_pmic,Pilot_pmic_Backcase,Pilot_pmic_TP,Pilot_soc_Backcase,Pilot_soc_TP,Pilot_soc_die,Sceen_ic_TP,Screen,Screen_ic,Screen_ic_Backcase,WIDE_CAM_MADA,WIDE_CAM_SENOR_Backcase,WIDE_CAM_SENOR_TP,WIDE_CAM_SENSOR,ch2,ch4,ch5,ch6,ch7
0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1,25,25.0164,25.0001,25.0002,25.3868,25.0001,25.0006,25.0002,25.0001,25.0401,43.5551,25.021,25,25.0002,25.0001,25.0353,25.0002,25.0001,25.0005,25.1028,25.0001,25.0003,25.0001,25,25,25,25.0065,25.0071,25.0057,25.0069,25.0068,25.0063,25.0166,25,25.0002,25,25.0002,25.0066,25.0001,25.0001,25,25,25,25,25.0001,25.0001,25,25,25,25,25.0001
4,25.0019,25.1594,25.0045,25.0117,26.5569,25.0053,25.0224,25.0125,25.0042,25.3123,52.4385,25.1834,25.0043,25.0135,25.0042,25.3087,25.0125,25.0055,25.02,25.5935,25.0047,25.0156,25.0058,25,25.0034,25,25.0935,25.0976,25.0879,25.0964,25.096,25.0919,25.1578,25.0036,25.0126,25.0025,25.0112,25.0947,25.0058,25.0059,25,25.0019,25,25.0003,25.007,25.0041,25.0001,25.0031,25.0014,25.0021,25.0069
9,25.0122,25.4038,25.0334,25.0631,27.5537,25.0358,25.1015,25.0674,25.0321,25.6986,54.6336,25.4437,25.0315,25.0725,25.0308,25.7201,25.0658,25.0355,25.0938,26.1477,25.0322,25.0778,25.0339,25.0002,25.0224,25.0005,25.2806,25.2887,25.2698,25.2867,25.2855,25.2762,25.3996,25.0278,25.0689,25.0214,25.0628,25.283,25.0334,25.0334,25.0001,25.0122,25.0004,25.0028,25.0413,25.0265,25.0009,25.0257,25.0097,25.0176,25.0421
15,25.0323,25.6321,25.0958,25.1495,28.1263,25.0985,25.2184,25.1597,25.0935,26.0191,55.3353,25.6816,25.0912,25.1716,25.0881,26.0614,25.1537,25.0965,25.2055,26.5342,25.09,25.1765,25.0848,25.001,25.0596,25.0023,25.4804,25.4909,25.4668,25.4887,25.4864,25.473,25.6294,25.0826,25.1645,25.0679,25.1519,25.4835,25.082,25.0821,25.0004,25.0324,25.0024,25.0088,25.1024,25.0709,25.0035,25.0782,25.0282,25.0538,25.1076
20,25.0526,25.7823,25.1612,25.228,28.4056,25.1634,25.3168,25.2436,25.1589,26.2167,55.6349,25.8381,25.1553,25.2614,25.1482,26.2673,25.2324,25.1595,25.301,26.7481,25.1503,25.2632,25.1337,25.0023,25.0967,25.0052,25.6215,25.6332,25.6069,25.631,25.628,25.6122,25.7833,25.1423,25.2517,25.1206,25.234,25.625,25.1276,25.1277,25.0008,25.0526,25.0056,25.016,25.16,25.1159,25.007,25.1362,25.0485,25.094,25.1709
30,25.0983,25.9943,25.3088,25.3774,28.7034,25.3095,25.4883,25.4028,25.3093,26.4769,55.9486,26.0608,25.3065,25.4316,25.285,26.5286,25.3801,25.3021,25.4702,27.0058,25.2867,25.4216,25.2369,25.0087,25.1769,25.0171,25.8328,25.8455,25.8176,25.8436,25.8394,25.8212,26.0047,25.2861,25.4181,25.2536,25.3928,25.8366,25.219,25.2191,25.0034,25.0983,25.0208,25.0361,25.2752,25.2177,25.0195,25.2776,25.1,25.1955,25.3017
50,25.1925,26.2779,25.5755,25.6186,29.0318,25.5788,25.7458,25.6584,25.5864,26.8019,56.2915,26.3603,25.5958,25.7029,25.5366,26.8454,25.616,25.5658,25.7273,27.315,25.5369,25.6684,25.4284,25.0393,25.3264,25.0651,26.1249,26.1385,26.1098,26.1371,26.1314,26.1113,26.3037,25.5667,25.6854,25.5223,25.6524,26.1291,25.3789,25.3791,25.0165,25.1926,25.0852,25.0898,25.4723,25.4178,25.064,25.5564,25.2147,25.412,25.5308
80,25.3322,26.5804,25.8869,25.8952,29.3538,25.8997,26.0293,25.949,25.912,27.1324,56.6234,26.6789,25.9451,26.008,25.8355,27.1646,25.8858,25.88,26.0118,27.6292,25.8337,25.9458,25.6768,25.118,25.5205,25.1763,26.4392,26.4534,26.4245,26.4524,26.4454,26.4242,26.6218,25.9094,25.9879,25.8557,25.9506,26.4436,25.5793,25.5794,25.0534,25.3322,25.2293,25.1863,25.7103,25.683,25.1609,25.9002,25.3863,25.7068,25.8071
100,25.4242,26.7504,26.0629,26.0534,29.5303,26.0823,26.1893,26.1141,26.0955,27.3142,56.804,26.8571,26.1435,26.1803,26.0062,27.3404,26.0402,26.0589,26.1725,27.803,26.0028,26.1034,25.8279,25.1822,25.6389,25.2635,26.6157,26.6301,26.6013,26.6294,26.6217,26.6002,26.7998,26.1048,26.1592,26.0468,26.1206,26.6202,25.7,25.7002,25.0849,25.4243,25.3383,25.257,25.8502,25.8444,25.2352,26.0972,25.4982,25.8859,25.968
130,25.5591,26.9638,26.2791,26.2541,29.7487,26.3064,26.3904,26.3221,26.3194,27.5388,57.0263,27.0793,26.3849,26.3952,26.2177,27.5585,26.2368,26.2788,26.3745,28.0195,26.2123,26.3027,26.0299,25.2957,25.7991,25.4117,26.8364,26.851,26.8223,26.8505,26.8422,26.8203,27.0217,26.343,26.3735,26.2806,26.3346,26.841,25.8621,25.8623,25.1441,25.5592,25.5132,25.3664,26.0325,26.0583,25.3597,26.3385,25.6597,26.1193,26.1742
