Iteration,Backcase,IC_DA9313,IC_DA9313_Backcase,IC_DA9313_TP,IC_MCP,IC_MCP_Backcase,IC_MCP_TP,IC_PM8009_TP,IC_PM8009_backcase,IC_PM8009_chip,IC_PM855,IC_PM855B,IC_PM855B_Backcase,IC_PM855B_TP,IC_PM855L,IC_PM855L_TP,IC_PM855L_backcase,IC_PM855_Backcase,IC_PM855_TP,IC_SM8250_LPDDR5,IC_SM8250_LPDDR5_Backcase,IC_SM8250_LPDDR5_TP,MAIN_CAM_SENSOR,Main_CAM_SENOR_Backcase,Main_CAM_SENOR_TP,Main_Cam_MADA,Pilot_ISP,Pilot_NPU,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,Pilot_dram,Pilot_pmic,Pilot_pmic_Backcase,Pilot_pmic_TP,Pilot_soc_Backcase,Pilot_soc_TP,Pilot_soc_die,Sceen_ic_TP,Screen,Screen_ic,Screen_ic_Backcase,WIDE_CAM_MADA,WIDE_CAM_SENOR_Backcase,WIDE_CAM_SENOR_TP,WIDE_CAM_SENSOR,ch2,ch4,ch5,ch6,ch7
0,24.999963,24.999994,24.999994,24.999963,25.000024,24.999994,24.999963,25.000024,24.999994,25.000024,25.000024,24.999994,24.999994,24.999963,24.999994,24.999963,24.999994,25.000024,24.999994,25.000024,24.999994,24.999963,24.999963,24.999963,25.000024,24.999994,24.999994,24.999994,24.999963,25.000024,24.999994,25.000024,24.999994,25.000024,24.999963,25.000024,24.999963,24.999994,25.000024,25.000024,24.999994,24.999963,24.999963,24.999994,25.000024,25.000024,24.999994,25.000024,24.999963,24.999933,24.999994
1,25.000024,25.009973,25.000024,25.000482,27.109033,25.000055,25.001672,25.000574,25.000024,25.012048,25.348016,25.013391,25.000055,25.000574,25.012689,25.000513,25.000024,25.000055,25.001367,25.04046,25.000024,25.000909,25.000177,24.999963,25.000085,24.999994,25.005426,25.005701,25.005029,25.005609,25.005548,25.005884,25.010034,25.000055,25.000513,25.000024,25.000391,25.005518,25.000208,25.000208,24.999994,25.000024,24.999963,24.999994,25.000269,25.000116,24.999994,25.000024,24.999994,25.000055,25.000208
4,25.001062,25.116113,25.002252,25.016962,29.457422,25.002771,25.037042,25.018243,25.0021,25.148981,26.492212,25.139154,25.002161,25.020105,25.165735,25.018091,25.002069,25.002771,25.032251,25.335535,25.002313,25.023706,25.007928,24.999963,25.004633,25.000024,25.077936,25.080194,25.07467,25.07937,25.079065,25.080103,25.115442,25.001794,25.018518,25.001459,25.015894,25.078729,25.008081,25.008051,24.999994,25.001062,25.000024,25.000146,25.009698,25.005609,25.000085,25.001703,25.001367,25.002832,25.009576
9,25.007715,25.325281,25.020013,25.079065,30.876733,25.021967,25.142206,25.085168,25.01925,25.419092,27.524957,25.368066,25.018762,25.092645,25.46676,25.082727,25.018396,25.02099,25.128442,25.772119,25.019098,25.101678,25.040491,25.000177,25.027185,25.000574,25.243341,25.248499,25.235986,25.246851,25.245905,25.245874,25.323022,25.016809,25.087061,25.014001,25.077417,25.245111,25.041345,25.041345,25.000116,25.007715,25.000513,25.001764,25.049921,25.031335,25.00094,25.016168,25.00863,25.020441,25.050989
15,25.021936,25.536707,25.06283,25.176111,31.56759,25.065515,25.281946,25.189172,25.061487,25.686365,28.128992,25.591241,25.059503,25.204919,25.756189,25.181635,25.05752,25.062494,25.26037,26.122919,25.058496,25.215356,25.096094,25.00094,25.068781,25.00271,25.428613,25.435846,25.418665,25.433862,25.432062,25.430109,25.535333,25.054559,25.194635,25.047388,25.176141,25.431085,25.096735,25.096765,25.000482,25.021967,25.002649,25.006097,25.117334,25.079309,25.003473,25.053247,25.024469,25.059747,25.123071
20,25.037164,25.68078,25.110468,25.261346,31.875208,25.112939,25.393396,25.280145,25.109155,25.863885,28.422906,25.741846,25.105829,25.302759,25.942896,25.267419,25.101221,25.107843,25.367609,26.328058,25.101953,25.311121,25.148187,25.002161,25.109216,25.005884,25.562891,25.571191,25.551782,25.569147,25.566705,25.563318,25.682031,25.098077,25.289178,25.086938,25.264093,25.565668,25.147089,25.14715,25.001031,25.037164,25.006128,25.011469,25.179193,25.126764,25.00686,25.096216,25.041925,25.102289,25.190698
30,25.073938,25.8883,25.22616,25.418268,32.181024,25.227014,25.577814,25.447168,25.227197,26.108301,28.731958,25.959222,25.223566,25.48147,26.189996,25.422906,25.207849,25.218042,25.548547,26.580896,25.207941,25.479181,25.255426,25.008264,25.19436,25.018762,25.767847,25.777124,25.756067,25.775232,25.771844,25.766779,25.897058,25.210626,25.463312,25.19314,25.429102,25.77099,25.24502,25.245111,25.003992,25.073938,25.021875,25.027734,25.299921,25.231653,25.018915,25.208337,25.087122,25.207178,25.326868
50,25.156366,26.168237,25.451318,25.665308,32.507227,25.452448,25.844019,25.708307,25.461206,26.420801,29.06698,26.253656,25.46618,25.7586,26.49624,25.665033,25.419061,25.437524,25.813715,26.88595,25.417413,25.733057,25.45083,25.037592,25.349573,25.068781,26.054437,26.064539,26.042596,26.062982,26.058282,26.051935,26.190332,25.446558,25.735956,25.42193,25.692957,26.057916,25.411707,25.411829,25.018457,25.156427,25.087305,25.074976,25.502344,25.43432,25.061609,25.44494,25.191766,25.426782,25.560388
80,25.286493,26.467584,25.73031,25.944299,32.82525,25.737207,26.130762,26.000818,25.752771,26.7427,29.392114,26.567896,25.77691,26.065424,26.808313,25.937494,25.68551,25.715784,26.101221,27.196405,25.681604,26.013239,25.701379,25.114038,25.547632,25.182275,26.364282,26.374902,26.352777,26.373712,26.367822,26.360773,26.503839,25.751703,26.039911,25.721368,25.992059,26.368005,25.616327,25.61651,25.058069,25.286523,25.231958,25.164606,25.743463,25.700403,25.155298,25.752985,25.35351,25.722253,25.838586
100,25.374536,26.635889,25.892664,26.102869,32.999597,25.904413,26.291254,26.166101,25.922083,26.920892,29.569727,26.74389,25.958826,26.237604,26.980981,26.092432,25.842371,25.879419,26.262354,27.368433,25.837122,26.171381,25.85293,25.176752,25.667505,25.270532,26.538568,26.549371,26.527277,26.548425,26.541956,26.534662,26.679498,25.931085,26.211023,25.897729,26.16189,26.542383,25.738519,25.738672,25.091364,25.374597,25.340967,25.231592,25.884302,25.861749,25.227533,25.934473,25.460687,25.900995,25.999811
