Time,Flash_backcase,Main_cam_backcase,Backcase_hotspot,Main_cam_edge,Midframe_top,Main_cam_TP,MAIN_CAM_SENSOR,SM8250_LPDDR5,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,SoC_die
0,25,25,25,25,25,25,25,25,25,25,25,25
1,25,25,25,25,25,25,29.4,28.7,30.6,29.8,28,31.3
3,25,25,25,25,25,25.1,32.7,32.2,32.6,31.9,29.9,33.4
6,25,25,25,25.1,25.1,25.4,35.2,34.6,33.7,33,31,34.5
10,25,25,25.1,25.2,25.2,25.7,37.1,36.2,34.6,33.9,31.9,35.4
15,25.1,25,25.3,25.4,25.4,26.2,38.5,37.3,35.4,34.6,32.6,36.1
20,25.1,25.1,25.5,25.6,25.7,26.7,39.5,38.1,36,35.3,33.3,36.7
26,25.2,25.1,25.8,25.8,26,27.2,40.3,38.8,36.6,35.9,33.9,37.4
32,25.3,25.2,26.1,26,26.4,27.6,41,39.3,37.1,36.4,34.4,37.9
39,25.5,25.3,26.5,26.4,26.8,28.1,41.7,39.9,37.7,36.9,34.9,38.4
46,25.7,25.5,26.9,26.7,27.2,28.6,42.3,40.4,38.1,37.4,35.4,38.9
54,25.9,25.7,27.4,27,27.7,29.1,42.9,40.8,38.6,37.9,35.9,39.4
62,26.1,25.9,27.8,27.4,28.2,29.5,43.5,41.3,39.1,38.4,36.3,39.8
71,26.4,26.2,28.2,27.7,28.6,29.9,44.1,41.7,39.5,38.8,36.8,40.3
80,26.7,26.5,28.7,28.1,29.1,30.4,44.6,42.2,40,39.3,37.2,40.7
90,27,26.8,29.1,28.5,29.6,30.8,45.1,42.6,40.4,39.7,37.7,41.2
100,27.4,27.2,29.5,28.9,30,31.2,45.6,43,40.8,40.1,38.1,41.6
110,27.7,27.6,29.9,29.3,30.4,31.6,46.1,43.4,41.2,40.5,38.5,42
125,28.2,28.1,30.5,29.9,31,32.1,46.8,43.9,41.8,41.1,39,42.5
140,28.7,28.7,31,30.4,31.6,32.6,47.4,44.4,42.3,41.6,39.5,43
155,29.2,29.2,31.5,31,32.1,33.1,47.9,44.9,42.8,42.1,40,43.5
170,29.7,29.7,31.9,31.5,32.6,33.5,48.5,45.3,43.2,42.5,40.5,44
185,30.2,30.2,32.3,32,33.1,33.9,49,45.8,43.7,42.9,40.9,44.4
200,30.7,30.7,32.7,32.4,33.5,34.3,49.5,46.2,44.1,43.3,41.3,44.8
220,31.3,31.3,33.2,33,34,34.8,50.1,46.7,44.6,43.9,41.8,45.3
240,31.8,31.9,33.7,33.6,34.5,35.3,50.6,47.2,45.1,44.3,42.3,45.8
260,32.4,32.5,34.1,34.1,35,35.8,51.1,47.6,45.5,44.8,42.8,46.3
280,32.9,33,34.6,34.6,35.5,36.2,51.6,48.1,46,45.3,43.2,46.7
300,33.4,33.5,35,35.1,35.9,36.6,52.1,48.5,46.4,45.7,43.6,47.2
325,34,34.1,35.4,35.7,36.4,37.1,52.7,49,46.9,46.2,44.2,47.7
350,34.5,34.7,35.9,36.2,36.9,37.6,53.2,49.5,47.4,46.7,44.6,48.2
375,35,35.2,36.3,36.7,37.4,38,53.7,49.9,47.9,47.1,45.1,48.6
400,35.5,35.7,36.7,37.2,37.8,38.4,54.2,50.4,48.3,47.6,45.5,49.1
430,36,36.2,37.2,37.7,38.3,38.9,54.7,50.9,48.8,48.1,46,49.6
460,36.5,36.7,37.6,38.2,38.8,39.4,55.2,51.3,49.3,48.6,46.5,50
490,37,37.2,38,38.7,39.3,39.8,55.7,51.8,49.7,49,47,50.5
520,37.4,37.6,38.4,39.2,39.7,40.2,56.2,52.2,50.2,49.4,47.4,50.9
550,37.8,38.1,38.8,39.6,40.1,40.6,56.6,52.7,50.6,49.9,47.8,51.3
590,38.4,38.6,39.3,40.1,40.6,41.1,57.1,53.2,51.1,50.4,48.3,51.8
630,38.8,39.1,39.7,40.6,41.1,41.6,57.6,53.6,51.6,50.8,48.8,52.3
670,39.3,39.5,40.2,41.1,41.5,42,58.1,54.1,52,51.3,49.3,52.8
710,39.7,39.9,40.6,41.5,41.9,42.5,58.6,54.5,52.5,51.7,49.7,53.2
750,40.1,40.3,40.9,41.9,42.3,42.9,59,54.9,52.9,52.1,50.1,53.6
800,40.5,40.7,41.3,42.3,42.8,43.3,59.5,55.4,53.3,52.6,50.6,54.1
850,40.9,41.1,41.7,42.8,43.2,43.7,59.9,55.9,53.8,53,51,54.5
900,41.3,41.5,42.1,43.2,43.6,44.1,60.3,56.3,54.2,53.4,51.4,54.9
