Time,Flash_backcase,Main_cam_backcase,Backcase_hotspot,Main_cam_edge,Midframe_top,Main_cam_TP,MAIN_CAM_SENSOR,SM8250_LPDDR5,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,SoC_die
0,25,25,25,25,25,25,25,25,25,25,25,25
1,25.0002,25,25.0002,25.0049,25.0008,25.0296,30.1065,29.7294,30.5007,28.2005,28.368,31.0407
3,25.0023,25.0002,25.0049,25.032,25.0144,25.1672,34.0344,34.2144,32.4168,30.0056,30.1897,32.9534
6,25.0116,25.0017,25.0346,25.0999,25.0758,25.4744,36.9899,37.3166,33.5897,31.1857,31.3878,34.127
10,25.036,25.0084,25.1269,25.2233,25.2275,25.9529,39.1715,39.3307,34.5946,32.2018,32.4145,35.1327
15,25.0853,25.0279,25.3207,25.4122,25.4983,26.5609,40.8153,40.7372,35.5315,33.147,33.363,36.0701
20,25.1527,25.0616,25.5765,25.6253,25.8231,27.1409,41.9556,41.6928,36.2901,33.9106,34.1266,36.8291
26,25.2572,25.1255,25.9422,25.9037,26.2564,27.7805,42.975,42.5456,37.0443,34.6683,34.883,37.5836
32,25.3834,25.2142,26.3414,26.1962,26.7104,28.3647,43.8047,43.239,37.6947,35.3209,35.5341,38.2343
39,25.5565,25.351,26.8256,26.5478,27.2458,28.9813,44.6232,43.9205,38.3577,35.9853,36.1969,38.8974
46,25.7521,25.519,27.3109,26.9041,27.7743,29.5437,45.3442,44.5181,38.9513,36.5798,36.7898,39.4911
54,26.0005,25.7467,27.8527,27.3124,28.3592,30.1292,46.0801,45.1257,39.563,37.1921,37.4005,40.1028
62,26.2695,26.0047,28.3745,27.7188,28.9205,30.6681,46.7501,45.6778,40.1231,37.7525,37.9595,40.6629
71,26.5928,26.3256,28.9323,28.1714,29.5203,31.2266,47.4395,46.2457,40.702,38.3317,38.5372,41.2419
80,26.9321,26.6703,29.4603,28.6179,30.0887,31.7456,48.0772,46.7715,41.2395,38.8693,39.0735,41.7794
90,27.3234,27.0742,30.0118,29.1053,30.684,32.2822,48.7337,47.3139,41.7948,39.4247,39.6276,42.3347
100,27.7245,27.4923,30.5309,29.5834,31.2458,32.7853,49.3467,47.822,42.3152,39.945,40.1468,42.8551
110,28.1316,27.9191,31.0206,30.0517,31.7772,33.2596,49.9227,48.3011,42.8058,40.4356,40.6363,43.3457
125,28.746,28.5655,31.6987,30.7315,32.5153,33.9188,50.7188,48.9671,43.4873,41.117,41.3164,44.0271
140,29.3571,29.2088,32.3286,31.3884,33.2024,34.5345,51.4583,49.5898,44.1234,41.753,41.9513,44.6633
155,29.9595,29.8422,32.9168,32.0224,33.8454,35.1129,52.15,50.1761,44.7216,42.3512,42.5484,45.2615
170,30.5499,30.4618,33.469,32.6333,34.449,35.6592,52.7992,50.7295,45.2848,42.9142,43.1106,45.8246
185,31.1254,31.0644,33.9903,33.2225,35.0194,36.1785,53.4136,51.2576,45.8222,43.4515,43.6473,46.362
200,31.6832,31.6477,34.4833,33.79,35.5595,36.6729,53.9963,51.7618,46.3342,43.9634,44.1586,46.874
220,32.3958,32.3909,35.0988,34.5093,36.2333,37.2951,54.724,52.3967,46.9774,44.6064,44.801,47.5172
240,33.0762,33.0987,35.6782,35.1931,36.8666,37.8848,55.4091,52.9991,47.5866,45.2155,45.4096,48.1264
260,33.7246,33.7713,36.2258,35.8431,37.4644,38.4455,56.0565,53.5728,48.1658,45.7945,45.9882,48.7055
280,34.3416,34.4099,36.7452,36.4612,38.0307,38.9802,56.6703,54.1208,48.718,46.3467,46.5401,49.2578
300,34.9285,35.0158,37.2394,37.0493,38.5687,39.4913,57.2538,54.6454,49.246,46.8745,47.0677,49.7857
325,35.6186,35.726,37.8232,37.7412,39.2029,40.0975,57.9413,55.2686,49.8721,47.5006,47.6935,50.4118
350,36.2676,36.3921,38.3762,38.3932,39.8025,40.6738,58.5911,55.8621,50.4676,48.096,48.2887,51.0072
375,36.8785,37.0176,38.9012,39.0085,40.3708,41.2228,59.2069,56.4283,51.035,48.6633,48.8559,51.5746
400,37.4539,37.6056,39.4007,39.5897,40.9106,41.7465,59.7915,56.9693,51.5764,49.2047,49.3973,52.1161
430,38.099,38.2629,39.9674,40.2431,41.5218,42.3419,60.4526,57.5851,52.1921,49.8204,50.013,52.7318
